sentence,named_mountains
The Elden Mountains in the world of Elden Ring are known for their magical properties and formidable creatures.,Elden Mountains
Mount Kilimanjaro in Tanzania is Africa's highest peak and a dormant volcano.,Mount Kilimanjaro
"The Peak of Vindagnyr in the game Genshin Impact is a frigid, mountainous area harboring ancient secrets.",Peak of Vindagnyr
Mount Roraima in South America is known for its flat top and unique ecosystem.,Mount Roraima
The Pillars of Creation in the fantasy universe of Azeroth are towering mountain-like structures of immense power.,Pillars of Creation
"Mount Everest, part of the Himalayan range, is the highest mountain peak in the world.",Mount Everest
The Wolf's Lair in the Witcher series is a mountain fortress used as a training ground for witchers.,Wolf's Lair
Mount Rainier in Washington State is an active stratovolcano and a prominent feature of the Cascade Range.,"Mount Rainier,Cascade Range"
The Iron Mountains in the Discworld series are home to dwarven mines and ancient secrets.,Iron Mountains
Mount Fuji in Japan is an active stratovolcano and a well-known symbol of Japan.,Mount Fuji
The Weeping Mountain in the fantasy world of Deltora is known for its perpetual rain and treacherous paths.,Weeping Mountain
"The Andes, the longest continental mountain range in the world, run along the western edge of South America.",Andes
The Misty Mountains in Middle-earth are a formidable barrier and a haven for various creatures.,Misty Mountains
"Mount Kailash in Tibet is revered as a sacred mountain in several religions, including Hinduism and Buddhism.",Mount Kailash
The Thunder Peaks in the Forgotten Realms are known for their dangerous terrain and fierce storms.,Thunder Peaks
"Mount Vesuvius near Naples, Italy, is famous for its eruption in 79 AD that buried the city of Pompeii.",Mount Vesuvius
The Glass Mountains in the Land of Oz are made entirely of glass and are nearly impossible to climb.,Glass Mountains
"Mount Cook, also known as Aoraki, is the highest mountain in New Zealand.","Mount Cook,Aoraki"
"The Lonely Mountain, or Erebor, in Middle-earth, is famed for its wealth and the dragon Smaug.","Lonely Mountain,Erebor"
"Mount McKinley, also known as Denali, is the highest mountain peak in North America.","Mount McKinley,Denali"
"The Brocken, in the Harz Mountains of Germany, is associated with witches and folklore.","Brocken,Harz Mountains"
"Mount Hyjal in the Warcraft universe is a sacred mountain and the site of the World Tree, Nordrassil.",Mount Hyjal
The Sierra Nevada mountain range in California and Nevada is known for its stunning landscapes and ski resorts.,Sierra Nevada
Mount Elbrus in the Caucasus Mountains is the highest peak in Europe.,"Mount Elbrus,Caucasus Mountains"
The Floating Mountains in James Cameron's Avatar are notable for defying gravity on the planet of Pandora.,Floating Mountains
"The Rocky Mountains, extending from Canada to the United States, are a major North American mountain range.",Rocky Mountains
Mount Othrys in Greek mythology was the fortress of the Titans during the Titanomachy.,Mount Othrys
The Ural Mountains in Russia form a natural boundary between Europe and Asia.,Ural Mountains
The Mountains of Moria in Middle-earth are known for the vast Dwarven city beneath them.,Mountains of Moria
Mount Kilimanjaro in Tanzania is one of the most iconic free-standing mountains in the world.,Mount Kilimanjaro
The Fire Mountains in the land of Mordor from Tolkien's Middle-earth are known for their volcanic activity.,Fire Mountains
Mount Elbrus in the Caucasus Mountains is the highest peak in Europe.,"Mount Elbrus,Caucasus Mountains"
"The Blue Mountains, or Ered Luin, in Middle-earth were once home to thriving Dwarven kingdoms.","Blue Mountains,Ered Luin"
"Mount Everest, located in the Himalayas, is the highest mountain peak above sea level.","Mount Everest,Himalayas"
Mount Olympus in Greek mythology is the home of the Greek gods and goddesses.,Mount Olympus
The Throat of the World in Skyrim is considered the highest mountain in Tamriel.,Throat of the World
Mount Fuji in Japan is an active stratovolcano and a well-known cultural icon.,Mount Fuji
The Thundering Mountains in Chinese mythology are said to be home to many gods.,Thundering Mountains
"Mount Ararat, located in Turkey, is historically significant and is thought to be the landing place of Noah's Ark.",Mount Ararat
"The Grey Mountains, or Ered Mithrin, in Middle-earth are known for their harsh climate.","Grey Mountains,Ered Mithrin"
"Mount Denali, previously known as Mount McKinley, is the highest mountain peak in North America.","Mount Denali,Mount McKinley"
"The Pillar of Autumn from the Halo series is an artificial structure, named metaphorically after a mountain.",Pillar of Autumn
"Mount Kailash in Tibet is considered sacred in several religions, including Hinduism and Buddhism.",Mount Kailash
"The Lonely Mountain, or Erebor, in Middle-earth is famous for its wealth and the dragon Smaug.","Lonely Mountain,Erebor"
"The Rocky Mountains, extending from Canada to the United States, are known for their breathtaking landscapes.",Rocky Mountains
Mount Doom in Tolkien's Middle-earth is the site where the One Ring was forged and ultimately destroyed.,Mount Doom
The Sierra Nevada mountain range in California is known for its striking natural beauty and ski resorts.,Sierra Nevada
Mount Roraima in South America is a tabletop mountain with a unique ecosystem.,Mount Roraima
"The Whispering Mountains, in the fictional world of Alagaësia, are known for their legends and mysteries.",Whispering Mountains
Mount Shasta in California is known for its majestic appearance and spiritual significance.,Mount Shasta
"The Misty Mountains in Middle-earth are a major mountain range, home to goblins and other creatures.",Misty Mountains
"Mount Vesuvius near Naples, Italy, is famous for its eruption in 79 AD that destroyed Pompeii.",Mount Vesuvius
The Iron Mountains in the Discworld series are a central location for various storylines.,Iron Mountains
Mount Rainier in Washington State is an iconic part of the Pacific Northwest landscape.,Mount Rainier
The Glass Mountains in the Land of Oz are a fantastical range made entirely of glass.,Glass Mountains
Mount Erebus on Ross Island in Antarctica is the southernmost historically active volcano on Earth.,Mount Erebus
"Mount Hyjal in the Warcraft universe is a significant location, known for its World Tree, Nordrassil.",Mount Hyjal
The Ural Mountains in Russia form a natural boundary between Europe and Asia.,Ural Mountains
"Mount Erebor, also known as the Lonely Mountain in Tolkien's Middle-earth, is famed for its treasure and the dragon Smaug.","Mount Erebor,Lonely Mountain"
Mount Olympus in Greek mythology is the lofty home of the Olympian gods.,Mount Olympus
"The Caradhras, part of the Misty Mountains in Middle-earth, is known for its treacherous weather.","Caradhras,Misty Mountains"
Mount Kilimanjaro in Tanzania is renowned for its snow-capped peak and is Africa's highest mountain.,Mount Kilimanjaro
The Eyrie in George R.R. Martin's Westeros is a castle high in the Mountains of the Moon.,"Eyrie,Mountains of the Moon"
Mount Fuji in Japan is a cultural icon and an active stratovolcano.,Mount Fuji
The Storm Peaks in the Warcraft universe are known for their harsh climate and ancient mysteries.,Storm Peaks
"Mount Everest, part of the Himalayas, is the highest point on Earth.","Mount Everest,Himalayas"
"Mount Ararat, located in Turkey, is traditionally considered the landing place of Noah's Ark.",Mount Ararat
"The Spine of the World, a mountain range in the Forgotten Realms, is known for its rugged and unforgiving terrain.",Spine of the World
"Mount Vesuvius near Naples, Italy, is famous for its catastrophic eruption in 79 AD.",Mount Vesuvius
"The Redhorn Pass, also known as Caradhras, in Middle-earth, is a treacherous path through the mountains.","Redhorn Pass,Caradhras"
Mount Rainier in Washington State is an iconic stratovolcano in the Cascade Range.,"Mount Rainier,Cascade Range"
"The Pillar of Autumn, a metaphorical mountain in the Halo series, is a towering ship and a central location in the story.",Pillar of Autumn
"Mount Denali, also known as Mount McKinley, is the highest mountain peak in North America.","Mount Denali,Mount McKinley"
"Mount Ered Luin, also known as the Blue Mountains in Middle-earth, are steeped in Dwarven history.","Mount Ered Luin,Blue Mountains"
"The Rocky Mountains stretch majestically across North America, offering breathtaking views and diverse ecosystems.",Rocky Mountains
"Mount Doom, in Tolkien's Middle-earth, is the fiery mountain where the One Ring was forged.",Mount Doom
The Sierra Nevada range in California and Nevada is known for its stunning natural beauty and ski resorts.,Sierra Nevada
"Mount Roraima, located at the junction of Venezuela, Brazil, and Guyana, is a remarkable flat-topped mountain.",Mount Roraima
The Thundering Mountains in Chinese mythology are the abode of the Thunder God.,Thundering Mountains
"Mount Shasta in California is a significant peak in the Cascade Range, known for its natural beauty and legends.","Mount Shasta,Cascade Range"
"The Iron Mountains, in J.R.R. Tolkien's Middle-earth, are the northern border of Beleriand.",Iron Mountains
Mount Kailash in Tibet is revered as a sacred place in several Eastern religions.,Mount Kailash
"The Floating Mountains in the world of Pandora from Avatar are a wonder of nature, defying gravity.",Floating Mountains
The Misty Mountains in Middle-earth are a central location in Tolkien's 'The Hobbit' and 'The Lord of the Rings'.,Misty Mountains
Mount Erebus in Antarctica is noted for being the southernmost active volcano on Earth.,Mount Erebus
"Mount Hyjal in the World of Warcraft universe is a sacred site, famous for the World Tree Nordrassil.",Mount Hyjal
"The Glass Mountains, in the realm of Oz, are known for their sheer, impassable cliffs of solid glass.",Glass Mountains
"The Ural Mountains, separating Europe and Asia, are rich in history and natural resources.",Ural Mountains
"The Lonely Mountain, or Erebor, in Tolkien's Middle-earth, is famous for its vast treasure and the dragon Smaug.","Lonely Mountain,Erebor"
Mount Everest in the Himalayas is the highest mountain peak in the world.,"Mount Everest,Himalayas"
The Brokeback Mountain in Annie Proulx's story is a symbol of forbidden love and freedom.,Brokeback Mountain
Mount Kilimanjaro in Tanzania is the highest mountain in Africa and a popular climbing destination.,Mount Kilimanjaro
"Mount Olympus, in the world of Greek mythology, is the home to the pantheon of Greek gods.",Mount Olympus
The Death Peak in the Chrono Trigger universe is a desolate mountain with a pivotal role in the game's narrative.,Death Peak
"Mount Fuji, an iconic symbol of Japan, is a popular spot for tourists and climbers.",Mount Fuji
Mount Doom in J.R.R. Tolkien's Middle-earth is where the One Ring was forged and destroyed.,Mount Doom
The Misty Mountains in Middle-earth are a daunting and mysterious range filled with goblins and ancient secrets.,Misty Mountains
Mount Ararat in Turkey is traditionally considered the landing place of Noah's Ark.,Mount Ararat
The Wall in George R.R. Martin's Game of Thrones is a massive ice structure built along a mountain range.,The Wall
"Mount Roraima, a flat-topped mountain in South America, is known for its unique geological formations.",Mount Roraima
The Red Mountains in the Elder Scrolls universe are known for their volcanic activity.,Red Mountains
"Mount McKinley, also known as Denali, is the highest peak in North America.","Mount McKinley,Denali"
The Thunder Peaks in the Forgotten Realms are a rugged and dangerous mountain range.,Thunder Peaks
